episode,reward
1,-5.754722000059998
2,-33.77092574857429
3,-27.383193896604155
4,-23.16871695326361
5,-24.440769325582252
6,-32.16119013400693
7,-9.96090384140515
8,-28.086598772662317
9,-10.999154667435942
10,-9.766064812239676
11,-26.96859375857654
12,-33.77499755785871
13,-27.285630882443115
14,-34.108353239222524
15,-27.893636455165552
16,-32.44332934323467
17,-24.73444636211198
18,-9.339333949942317
19,-33.9024505254688
20,-20.151040438507827
21,-28.058216474281448
22,-20.097412212870804
23,-12.100419906353336
24,-32.435977375616865
25,-34.19951963657228
26,-28.683929811712463
27,-25.99504084660155
28,-32.88329904369076
29,-29.1180769196636
30,-20.07554313315326
31,-21.704829797180132
32,-5.6608053054614995
33,-9.232934463009736
34,-27.981173491971045
35,-34.66199188978821
36,-8.055431714640166
37,-33.344158214448186
38,-33.18909152899141
39,-23.263861228002327
40,-28.36153021331803
41,-5.911886942120569
42,-33.827065843291926
43,-27.153136572934276
44,-23.55303576091607
45,-3.5107508424583007
46,-33.782512255935195
47,-20.858565877051436
48,-32.67816458596101
49,-27.061341660585125
50,-33.09888447266339
51,-33.06625625036138
52,-6.845662909632641
53,-23.59924196632748
54,-22.3677690295902
55,-25.121756088030786
56,-3.0767316906316213
57,-26.401350310593674
58,-15.787304266251502
59,-28.38938076339019
60,-27.592687085633063
61,-32.30261923367371
62,-28.31730890301496
63,-24.048607396518385
64,-33.55194245437296
65,-24.239105201450545
66,-24.981390503654076
67,-33.40292356651023
68,-16.93807157226381
69,-8.7612381456519
70,-21.090796031513978
71,-33.466388026368755
72,-2.9312774442330527
73,-11.692833569892782
74,-3.8500618343273363
75,-27.185016696884457
76,-24.041474437902945
77,-18.750554836275
78,-9.25103299112918
79,-28.40497751909775
80,-26.210882541076174
81,-34.34195853617532
82,-21.589982331914356
83,-2.8713540646378113
84,-32.60333640187946
85,-27.637237939402674
86,-28.92163134067112
87,-12.043749749293834
88,-21.92506454205518
89,-32.90996004963175
90,-32.30680742629328
91,-17.837824685940788
92,-32.55166404868054
93,-33.54573973691012
94,-20.786029056732875
95,-33.65871651137638
96,-24.333509371601632
97,-3.1916959059004615
98,-28.519967228213144
99,-27.32430215809178
100,-10.335881836553535
101,-35.78376433591743
102,-7.172212910250085
103,-33.16964077256242
104,-5.794799285696221
105,-33.040088970004376
106,-32.88747177312416
107,-32.63523068920576
108,-28.31589317354962
109,-22.02746640610503
110,-28.705981807696524
111,-16.227230104425686
112,-33.078759632695956
113,-21.53227707472158
114,-14.973225741570877
115,-24.972553476370347
116,-27.629032367383015
117,-3.2457008485878833
118,-7.2872940144325975
119,-3.430068370875415
120,-2.6153750257757715
121,-16.138344864438206
122,-26.387767865197915
123,-26.10160929156826
124,-18.368021302903895
125,-31.47368735961155
126,-29.136926095494935
127,-3.4929164164185216
128,-32.52935129544093
129,-28.09037888139166
130,-28.014088894574943
131,-26.642705091138424
132,-27.203937422451606
133,-2.592164764358961
134,-26.471697062306077
135,-33.13247758870199
136,-24.609423730213255
137,-26.172697546446678
138,-3.5923682283445704
139,-16.376544875135398
140,-22.083704864802396
141,-33.41369658209442
