episode,reward
1,-22.684647948566564
2,-21.944473042502384
3,-19.50332428363467
4,-23.55591063352485
5,-23.033460135695087
6,-20.77028453813288
7,-21.798036786755798
8,-19.261954033570774
9,-18.7758829501346
10,-21.15029801678488
11,-20.855860795316836
12,-21.347895027649404
13,-19.624762001883354
14,-20.316644543727147
15,-21.461177758009118
16,-21.32004249913437
17,-21.567678086790643
18,-23.17716216012573
19,-22.13270013201126
20,-19.53511303381349
21,-25.13292903477515
22,-21.911621381215163
23,-22.298994963348285
24,-21.71637271021274
25,-22.682318973313684
26,-22.65414321184556
27,-20.245116373087317
28,-20.811502649330823
29,-19.31681904042026
30,-22.161651024541236
31,-21.59117218433534
32,-18.054702094952624
33,-21.558753356908742
34,-18.837612113977624
35,-25.429537030469852
36,-23.54375705792227
37,-19.95772771246033
38,-19.996209518780006
39,-23.510881556826597
40,-16.97714111338538
41,-23.693654144209294
42,-20.50156361450174
43,-20.63337314710201
44,-22.65842281344162
45,-19.57252532813475
46,-21.50014563108345
47,-20.209976859584682
48,-20.75439564756735
49,-19.291765831047442
50,-20.735767085877473
51,-20.920452289018883
52,-19.93244783179107
53,-20.75315785594475
54,-19.130666988218298
55,-18.016897102473532
56,-19.329614842994836
57,-19.25955582720131
58,-21.82017903097136
59,-18.251602606956883
60,-20.426950267870826
61,-20.03366618366816
62,-23.186768182332848
63,-18.079337160458948
64,-22.098393353241462
65,-17.32423281499174
66,-19.493352925525727
67,-18.768538783533945
68,-19.402735335301916
69,-19.06771013358984
70,-20.43567484931154
71,-19.431088945211606
72,-16.568580854017597
73,-18.557752644941463
74,-23.888962766628705
75,-19.309601966143454
76,-19.08474227056627
77,-21.414230472304585
78,-19.76086927457069
79,-19.454218844530892
80,-21.348330234944463
81,-23.157626447239487
82,-20.5312651896557
83,-23.384101190554816
84,-19.719896690942512
85,-20.16705525538682
86,-19.390806669284
87,-17.624424024529397
88,-19.881227099468536
89,-21.15230327105507
90,-20.07849698648306
91,-20.154668505600426
92,-21.030489379380104
93,-20.313686394876164
94,-19.643712340945527
95,-20.151273290223262
96,-22.82326690808559
97,-17.70584903494038
98,-20.55030108482118
99,-21.158498340419886
100,-23.71236326569001
101,-20.675861632454698
102,-20.038593211690966
103,-21.71498793503738
104,-21.398150506755762
105,-19.997311125236987
106,-19.920460483881612
107,-23.50503101612516
108,-19.353616281580997
109,-18.09106893567874
110,-17.498122017029626
111,-18.267001397812674
112,-19.921064553309073
113,-17.950956057676883
114,-22.46883813164773
115,-18.354903466384577
116,-17.591008305725232
117,-15.048990430337293
118,-17.16718426444938
119,-18.37896022597205
